Date,Strategy,F1_raw,F1_continuous,Signal,Position,F1_cont_daily_change,Daily_PnL,MTM,Cumulative_PnL,Equity
2006-01-03,"MA_Crossover(36,44)",4584.0000,4584.0000,,0.0000,,,0.0000,,
2006-01-04,"MA_Crossover(36,44)",4675.5000,4675.5000,,0.0000,91.5000,0.0000,0.0000,0.0000,0.0000
2006-01-05,"MA_Crossover(36,44)",4638.0000,4638.0000,,0.0000,-37.5000,-0.0000,0.0000,0.0000,0.0000
2006-01-06,"MA_Crossover(36,44)",4634.0000,4634.0000,,0.0000,-4.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-09,"MA_Crossover(36,44)",4693.0000,4693.0000,,0.0000,59.0000,0.0000,0.0000,0.0000,0.0000
2006-01-10,"MA_Crossover(36,44)",4689.0000,4689.0000,,0.0000,-4.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-11,"MA_Crossover(36,44)",4681.0000,4681.0000,,0.0000,-8.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-12,"MA_Crossover(36,44)",4659.0000,4659.0000,,0.0000,-22.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-13,"MA_Crossover(36,44)",4747.0000,4747.0000,,0.0000,88.0000,0.0000,0.0000,0.0000,0.0000
2006-01-16,"MA_Crossover(36,44)",4711.0000,4711.0000,,0.0000,-36.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-17,"MA_Crossover(36,44)",4663.0000,4663.0000,,0.0000,-48.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-18,"MA_Crossover(36,44)",4703.0000,4699.0000,,0.0000,36.0000,0.0000,0.0000,0.0000,0.0000
2006-01-19,"MA_Crossover(36,44)",4695.0000,4690.0000,,0.0000,-9.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-20,"MA_Crossover(36,44)",4636.0000,4671.0000,,0.0000,-19.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-23,"MA_Crossover(36,44)",4703.0000,4738.0000,,0.0000,67.0000,0.0000,0.0000,0.0000,0.0000
2006-01-24,"MA_Crossover(36,44)",4743.0000,4778.0000,,0.0000,40.0000,0.0000,0.0000,0.0000,0.0000
2006-01-25,"MA_Crossover(36,44)",4872.0000,4907.0000,,0.0000,129.0000,0.0000,0.0000,0.0000,0.0000
2006-01-26,"MA_Crossover(36,44)",4859.0000,4894.0000,,0.0000,-13.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-27,"MA_Crossover(36,44)",4929.0000,4964.0000,,0.0000,70.0000,0.0000,0.0000,0.0000,0.0000
2006-01-30,"MA_Crossover(36,44)",4915.0000,4950.0000,,0.0000,-14.0000,-0.0000,0.0000,0.0000,0.0000
2006-01-31,"MA_Crossover(36,44)",4912.0000,4947.0000,,0.0000,-3.0000,-0.0000,0.0000,0.0000,0.0000
2006-02-01,"MA_Crossover(36,44)",4937.0000,4972.0000,,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000
2006-02-02,"MA_Crossover(36,44)",5065.5000,5100.5000,,0.0000,128.5000,0.0000,0.0000,0.0000,0.0000
2006-02-03,"MA_Crossover(36,44)",5092.0000,5127.0000,,0.0000,26.5000,0.0000,0.0000,0.0000,0.0000
2006-02-06,"MA_Crossover(36,44)",5129.5000,5164.5000,,0.0000,37.5000,0.0000,0.0000,0.0000,0.0000
2006-02-07,"MA_Crossover(36,44)",5035.0000,5070.0000,,0.0000,-94.5000,-0.0000,0.0000,0.0000,0.0000
2006-02-08,"MA_Crossover(36,44)",5041.0000,5076.0000,,0.0000,6.0000,0.0000,0.0000,0.0000,0.0000
2006-02-09,"MA_Crossover(36,44)",5081.0000,5116.0000,,0.0000,40.0000,0.0000,0.0000,0.0000,0.0000
2006-02-10,"MA_Crossover(36,44)",4894.0000,4929.0000,,0.0000,-187.0000,-0.0000,0.0000,0.0000,0.0000
2006-02-13,"MA_Crossover(36,44)",4934.0000,4969.0000,,0.0000,40.0000,0.0000,0.0000,0.0000,0.0000
2006-02-14,"MA_Crossover(36,44)",4988.0000,5019.0000,,0.0000,50.0000,0.0000,0.0000,0.0000,0.0000
2006-02-15,"MA_Crossover(36,44)",4834.0000,4863.0000,,0.0000,-156.0000,-0.0000,0.0000,0.0000,0.0000
2006-02-16,"MA_Crossover(36,44)",4848.0000,4876.0000,,0.0000,13.0000,0.0000,0.0000,0.0000,0.0000
2006-02-17,"MA_Crossover(36,44)",4864.0000,4918.0000,,0.0000,42.0000,0.0000,0.0000,0.0000,0.0000
2006-02-20,"MA_Crossover(36,44)",4966.0000,5020.0000,,0.0000,102.0000,0.0000,0.0000,0.0000,0.0000
2006-02-21,"MA_Crossover(36,44)",5015.0000,5069.0000,,0.0000,49.0000,0.0000,0.0000,0.0000,0.0000
2006-02-22,"MA_Crossover(36,44)",5035.5000,5089.5000,,0.0000,20.5000,0.0000,0.0000,0.0000,0.0000
2006-02-23,"MA_Crossover(36,44)",4959.0000,5013.0000,,0.0000,-76.5000,-0.0000,0.0000,0.0000,0.0000
2006-02-24,"MA_Crossover(36,44)",4922.0000,4976.0000,,0.0000,-37.0000,-0.0000,0.0000,0.0000,0.0000
2006-02-27,"MA_Crossover(36,44)",4734.0000,4788.0000,,0.0000,-188.0000,-0.0000,0.0000,0.0000,0.0000
2006-02-28,"MA_Crossover(36,44)",4881.0000,4935.0000,,0.0000,147.0000,0.0000,0.0000,0.0000,0.0000
2006-03-01,"MA_Crossover(36,44)",4940.0000,4994.0000,,0.0000,59.0000,0.0000,0.0000,0.0000,0.0000
2006-03-02,"MA_Crossover(36,44)",5056.0000,5110.0000,,0.0000,116.0000,0.0000,0.0000,0.0000,0.0000
2006-03-03,"MA_Crossover(36,44)",5046.0000,5100.0000,1.0000,0.0000,-10.0000,-0.0000,0.0000,0.0000,0.0000
2006-03-06,"MA_Crossover(36,44)",4953.0000,5007.0000,1.0000,1.0000,-93.0000,-93.0000,5007.0000,-93.0000,-93.0000
2006-03-07,"MA_Crossover(36,44)",4844.0000,4898.0000,1.0000,1.0000,-109.0000,-109.0000,4898.0000,-202.0000,-202.0000
2006-03-08,"MA_Crossover(36,44)",4800.0000,4854.0000,1.0000,1.0000,-44.0000,-44.0000,4854.0000,-246.0000,-246.0000
2006-03-09,"MA_Crossover(36,44)",4893.0000,4947.0000,1.0000,1.0000,93.0000,93.0000,4947.0000,-153.0000,-153.0000
2006-03-10,"MA_Crossover(36,44)",4905.0000,4959.0000,1.0000,1.0000,12.0000,12.0000,4959.0000,-141.0000,-141.0000
2006-03-13,"MA_Crossover(36,44)",4962.0000,5016.0000,1.0000,1.0000,57.0000,57.0000,5016.0000,-84.0000,-84.0000
2006-03-14,"MA_Crossover(36,44)",4974.5000,5018.5000,1.0000,1.0000,2.5000,2.5000,5018.5000,-81.5000,-81.5000
2006-03-15,"MA_Crossover(36,44)",5008.5000,5052.5000,1.0000,1.0000,34.0000,34.0000,5052.5000,-47.5000,-47.5000
2006-03-16,"MA_Crossover(36,44)",4981.0000,5027.5000,1.0000,1.0000,-25.0000,-25.0000,5027.5000,-72.5000,-72.5000
2006-03-17,"MA_Crossover(36,44)",5189.0000,5264.5000,1.0000,1.0000,237.0000,237.0000,5264.5000,164.5000,164.5000
2006-03-20,"MA_Crossover(36,44)",5164.0000,5239.5000,1.0000,1.0000,-25.0000,-25.0000,5239.5000,139.5000,139.5000
2006-03-21,"MA_Crossover(36,44)",5161.0000,5236.5000,1.0000,1.0000,-3.0000,-3.0000,5236.5000,136.5000,136.5000
2006-03-22,"MA_Crossover(36,44)",5163.0000,5238.5000,1.0000,1.0000,2.0000,2.0000,5238.5000,138.5000,138.5000
2006-03-23,"MA_Crossover(36,44)",5290.0000,5365.5000,1.0000,1.0000,127.0000,127.0000,5365.5000,265.5000,265.5000
2006-03-24,"MA_Crossover(36,44)",5304.0000,5379.5000,1.0000,1.0000,14.0000,14.0000,5379.5000,279.5000,279.5000
2006-03-27,"MA_Crossover(36,44)",5360.5000,5436.0000,1.0000,1.0000,56.5000,56.5000,5436.0000,336.0000,336.0000
2006-03-28,"MA_Crossover(36,44)",5365.5000,5441.0000,1.0000,1.0000,5.0000,5.0000,5441.0000,341.0000,341.0000
2006-03-29,"MA_Crossover(36,44)",5391.0000,5466.5000,1.0000,1.0000,25.5000,25.5000,5466.5000,366.5000,366.5000
2006-03-30,"MA_Crossover(36,44)",5466.0000,5541.5000,1.0000,1.0000,75.0000,75.0000,5541.5000,441.5000,441.5000
2006-03-31,"MA_Crossover(36,44)",5440.0000,5515.5000,1.0000,1.0000,-26.0000,-26.0000,5515.5000,415.5000,415.5000
2006-04-03,"MA_Crossover(36,44)",5661.5000,5737.0000,1.0000,1.0000,221.5000,221.5000,5737.0000,637.0000,637.0000
2006-04-04,"MA_Crossover(36,44)",5588.0000,5663.5000,1.0000,1.0000,-73.5000,-73.5000,5663.5000,563.5000,563.5000
2006-04-05,"MA_Crossover(36,44)",5742.5000,5818.0000,1.0000,1.0000,154.5000,154.5000,5818.0000,718.0000,718.0000
2006-04-06,"MA_Crossover(36,44)",5802.5000,5878.0000,1.0000,1.0000,60.0000,60.0000,5878.0000,778.0000,778.0000
2006-04-07,"MA_Crossover(36,44)",5751.0000,5826.5000,1.0000,1.0000,-51.5000,-51.5000,5826.5000,726.5000,726.5000
2006-04-10,"MA_Crossover(36,44)",5937.5000,6013.0000,1.0000,1.0000,186.5000,186.5000,6013.0000,913.0000,913.0000
2006-04-11,"MA_Crossover(36,44)",6010.0000,6085.5000,1.0000,1.0000,72.5000,72.5000,6085.5000,985.5000,985.5000
2006-04-12,"MA_Crossover(36,44)",6168.0000,6243.5000,1.0000,1.0000,158.0000,158.0000,6243.5000,1143.5000,1143.5000
2006-04-13,"MA_Crossover(36,44)",6259.0000,6334.5000,1.0000,1.0000,91.0000,91.0000,6334.5000,1234.5000,1234.5000
2006-04-18,"MA_Crossover(36,44)",6555.0000,6630.5000,1.0000,1.0000,296.0000,296.0000,6630.5000,1530.5000,1530.5000
2006-04-19,"MA_Crossover(36,44)",6479.0000,6554.5000,1.0000,1.0000,-76.0000,-76.0000,6554.5000,1454.5000,1454.5000
2006-04-20,"MA_Crossover(36,44)",6370.0000,6445.5000,1.0000,1.0000,-109.0000,-109.0000,6445.5000,1345.5000,1345.5000
2006-04-21,"MA_Crossover(36,44)",6857.0000,6932.5000,1.0000,1.0000,487.0000,487.0000,6932.5000,1832.5000,1832.5000
2006-04-24,"MA_Crossover(36,44)",6884.0000,6959.5000,1.0000,1.0000,27.0000,27.0000,6959.5000,1859.5000,1859.5000
2006-04-25,"MA_Crossover(36,44)",7327.0000,7402.5000,1.0000,1.0000,443.0000,443.0000,7402.5000,2302.5000,2302.5000
2006-04-26,"MA_Crossover(36,44)",7427.0000,7502.5000,1.0000,1.0000,100.0000,100.0000,7502.5000,2402.5000,2402.5000
2006-04-27,"MA_Crossover(36,44)",7182.0000,7257.5000,1.0000,1.0000,-245.0000,-245.0000,7257.5000,2157.5000,2157.5000
2006-04-28,"MA_Crossover(36,44)",7118.0000,7193.5000,1.0000,1.0000,-64.0000,-64.0000,7193.5000,2093.5000,2093.5000
2006-05-02,"MA_Crossover(36,44)",7269.0000,7344.5000,1.0000,1.0000,151.0000,151.0000,7344.5000,2244.5000,2244.5000
2006-05-03,"MA_Crossover(36,44)",7226.0000,7301.5000,1.0000,1.0000,-43.0000,-43.0000,7301.5000,2201.5000,2201.5000
2006-05-04,"MA_Crossover(36,44)",7776.0000,7851.5000,1.0000,1.0000,550.0000,550.0000,7851.5000,2751.5000,2751.5000
2006-05-05,"MA_Crossover(36,44)",7769.0000,7844.5000,1.0000,1.0000,-7.0000,-7.0000,7844.5000,2744.5000,2744.5000
2006-05-08,"MA_Crossover(36,44)",7748.0000,7823.5000,1.0000,1.0000,-21.0000,-21.0000,7823.5000,2723.5000,2723.5000
2006-05-09,"MA_Crossover(36,44)",7942.0000,8017.5000,1.0000,1.0000,194.0000,194.0000,8017.5000,2917.5000,2917.5000
2006-05-10,"MA_Crossover(36,44)",8237.0000,8312.5000,1.0000,1.0000,295.0000,295.0000,8312.5000,3212.5000,3212.5000
2006-05-11,"MA_Crossover(36,44)",8796.0000,8871.5000,1.0000,1.0000,559.0000,559.0000,8871.5000,3771.5000,3771.5000
2006-05-12,"MA_Crossover(36,44)",8634.0000,8709.5000,1.0000,1.0000,-162.0000,-162.0000,8709.5000,3609.5000,3609.5000
2006-05-15,"MA_Crossover(36,44)",8345.0000,8420.5000,1.0000,1.0000,-289.0000,-289.0000,8420.5000,3320.5000,3320.5000
2006-05-16,"MA_Crossover(36,44)",8435.0000,8520.5000,1.0000,1.0000,100.0000,100.0000,8520.5000,3420.5000,3420.5000
2006-05-17,"MA_Crossover(36,44)",8231.0000,8318.5000,1.0000,1.0000,-202.0000,-202.0000,8318.5000,3218.5000,3218.5000
2006-05-18,"MA_Crossover(36,44)",8200.0000,8290.5000,1.0000,1.0000,-28.0000,-28.0000,8290.5000,3190.5000,3190.5000
2006-05-19,"MA_Crossover(36,44)",7646.0000,7771.5000,1.0000,1.0000,-519.0000,-519.0000,7771.5000,2671.5000,2671.5000
2006-05-22,"MA_Crossover(36,44)",7673.0000,7798.5000,1.0000,1.0000,27.0000,27.0000,7798.5000,2698.5000,2698.5000
2006-05-23,"MA_Crossover(36,44)",8600.0000,8725.5000,1.0000,1.0000,927.0000,927.0000,8725.5000,3625.5000,3625.5000
2006-05-24,"MA_Crossover(36,44)",7955.0000,8080.5000,1.0000,1.0000,-645.0000,-645.0000,8080.5000,2980.5000,2980.5000
2006-05-25,"MA_Crossover(36,44)",8230.0000,8355.5000,1.0000,1.0000,275.0000,275.0000,8355.5000,3255.5000,3255.5000
2006-05-26,"MA_Crossover(36,44)",8349.0000,8474.5000,1.0000,1.0000,119.0000,119.0000,8474.5000,3374.5000,3374.5000
2006-05-30,"MA_Crossover(36,44)",8060.0000,8185.5000,1.0000,1.0000,-289.0000,-289.0000,8185.5000,3085.5000,3085.5000
2006-05-31,"MA_Crossover(36,44)",8001.0000,8126.5000,1.0000,1.0000,-59.0000,-59.0000,8126.5000,3026.5000,3026.5000
2006-06-01,"MA_Crossover(36,44)",7807.0000,7932.5000,1.0000,1.0000,-194.0000,-194.0000,7932.5000,2832.5000,2832.5000
2006-06-02,"MA_Crossover(36,44)",7967.0000,8092.5000,1.0000,1.0000,160.0000,160.0000,8092.5000,2992.5000,2992.5000
2006-06-05,"MA_Crossover(36,44)",7855.0000,7980.5000,1.0000,1.0000,-112.0000,-112.0000,7980.5000,2880.5000,2880.5000
2006-06-06,"MA_Crossover(36,44)",7603.0000,7728.5000,1.0000,1.0000,-252.0000,-252.0000,7728.5000,2628.5000,2628.5000
2006-06-07,"MA_Crossover(36,44)",7890.0000,8015.5000,1.0000,1.0000,287.0000,287.0000,8015.5000,2915.5000,2915.5000
2006-06-08,"MA_Crossover(36,44)",7407.0000,7532.5000,1.0000,1.0000,-483.0000,-483.0000,7532.5000,2432.5000,2432.5000
2006-06-09,"MA_Crossover(36,44)",7311.0000,7436.5000,1.0000,1.0000,-96.0000,-96.0000,7436.5000,2336.5000,2336.5000
2006-06-12,"MA_Crossover(36,44)",7137.0000,7262.5000,1.0000,1.0000,-174.0000,-174.0000,7262.5000,2162.5000,2162.5000
2006-06-13,"MA_Crossover(36,44)",6677.5000,6803.0000,1.0000,1.0000,-459.5000,-459.5000,6803.0000,1703.0000,1703.0000
2006-06-14,"MA_Crossover(36,44)",6766.0000,6891.5000,1.0000,1.0000,88.5000,88.5000,6891.5000,1791.5000,1791.5000
2006-06-15,"MA_Crossover(36,44)",7140.0000,7265.5000,1.0000,1.0000,374.0000,374.0000,7265.5000,2165.5000,2165.5000
2006-06-16,"MA_Crossover(36,44)",7109.0000,7234.5000,1.0000,1.0000,-31.0000,-31.0000,7234.5000,2134.5000,2134.5000
2006-06-19,"MA_Crossover(36,44)",6893.0000,7018.5000,1.0000,1.0000,-216.0000,-216.0000,7018.5000,1918.5000,1918.5000
2006-06-20,"MA_Crossover(36,44)",6827.5000,6938.5000,1.0000,1.0000,-80.0000,-80.0000,6938.5000,1838.5000,1838.5000
2006-06-21,"MA_Crossover(36,44)",6888.0000,6998.5000,1.0000,1.0000,60.0000,60.0000,6998.5000,1898.5000,1898.5000
2006-06-22,"MA_Crossover(36,44)",6812.0000,6916.5000,1.0000,1.0000,-82.0000,-82.0000,6916.5000,1816.5000,1816.5000
2006-06-23,"MA_Crossover(36,44)",6885.0000,7035.5000,1.0000,1.0000,119.0000,119.0000,7035.5000,1935.5000,1935.5000
2006-06-26,"MA_Crossover(36,44)",7110.0000,7260.5000,1.0000,1.0000,225.0000,225.0000,7260.5000,2160.5000,2160.5000
2006-06-27,"MA_Crossover(36,44)",6855.0000,7005.5000,1.0000,1.0000,-255.0000,-255.0000,7005.5000,1905.5000,1905.5000
2006-06-28,"MA_Crossover(36,44)",7010.0000,7160.5000,1.0000,1.0000,155.0000,155.0000,7160.5000,2060.5000,2060.5000
2006-06-29,"MA_Crossover(36,44)",7413.0000,7563.5000,1.0000,1.0000,403.0000,403.0000,7563.5000,2463.5000,2463.5000
2006-06-30,"MA_Crossover(36,44)",7425.0000,7575.5000,-1.0000,1.0000,12.0000,12.0000,7575.5000,2475.5000,2475.5000
2006-07-03,"MA_Crossover(36,44)",7381.0000,7531.5000,-1.0000,-1.0000,-44.0000,44.0000,-7531.5000,2519.5000,2519.5000
2006-07-04,"MA_Crossover(36,44)",7518.0000,7668.5000,-1.0000,-1.0000,137.0000,-137.0000,-7668.5000,2382.5000,2382.5000
2006-07-05,"MA_Crossover(36,44)",7477.0000,7627.5000,-1.0000,-1.0000,-41.0000,41.0000,-7627.5000,2423.5000,2423.5000
2006-07-06,"MA_Crossover(36,44)",7954.0000,8104.5000,-1.0000,-1.0000,477.0000,-477.0000,-8104.5000,1946.5000,1946.5000
2006-07-07,"MA_Crossover(36,44)",7840.0000,7990.5000,-1.0000,-1.0000,-114.0000,114.0000,-7990.5000,2060.5000,2060.5000
2006-07-10,"MA_Crossover(36,44)",7851.0000,8001.5000,-1.0000,-1.0000,11.0000,-11.0000,-8001.5000,2049.5000,2049.5000
2006-07-11,"MA_Crossover(36,44)",8022.0000,8172.5000,-1.0000,-1.0000,171.0000,-171.0000,-8172.5000,1878.5000,1878.5000
2006-07-12,"MA_Crossover(36,44)",8159.0000,8309.5000,-1.0000,-1.0000,137.0000,-137.0000,-8309.5000,1741.5000,1741.5000
2006-07-13,"MA_Crossover(36,44)",8035.0000,8185.5000,-1.0000,-1.0000,-124.0000,124.0000,-8185.5000,1865.5000,1865.5000
2006-07-14,"MA_Crossover(36,44)",8196.0000,8346.5000,-1.0000,-1.0000,161.0000,-161.0000,-8346.5000,1704.5000,1704.5000
2006-07-17,"MA_Crossover(36,44)",7838.0000,7988.5000,-1.0000,-1.0000,-358.0000,358.0000,-7988.5000,2062.5000,2062.5000
2006-07-18,"MA_Crossover(36,44)",7890.5000,8030.0000,-1.0000,-1.0000,41.5000,-41.5000,-8030.0000,2021.0000,2021.0000
2006-07-19,"MA_Crossover(36,44)",7870.0000,8014.5000,-1.0000,-1.0000,-15.5000,15.5000,-8014.5000,2036.5000,2036.5000
2006-07-20,"MA_Crossover(36,44)",7430.0000,7578.5000,-1.0000,-1.0000,-436.0000,436.0000,-7578.5000,2472.5000,2472.5000
2006-07-21,"MA_Crossover(36,44)",7102.0000,7272.5000,-1.0000,-1.0000,-306.0000,306.0000,-7272.5000,2778.5000,2778.5000
2006-07-24,"MA_Crossover(36,44)",7223.0000,7393.5000,-1.0000,-1.0000,121.0000,-121.0000,-7393.5000,2657.5000,2657.5000
2006-07-25,"MA_Crossover(36,44)",7516.0000,7686.5000,-1.0000,-1.0000,293.0000,-293.0000,-7686.5000,2364.5000,2364.5000
